StationID,BenSampID,Collection Date,Season,RepNum,Acentrella,Acroneuria,Allocapnia,Amphinemura,Anchytarsus,Ancylidae,Antocha,Baetidae,Baetis,Blepharicera,Cambaridae,Capniidae,Cheumatopsyche,Chimarra,Chironomidae,Chloroperlidae,Cinygmula,Clinocera,Corydalidae,Dicranota,Diplectrona,Diploperla,Dolophilodes,Drunella,Ectopria,Elmidae,Epeorus,Ephemerella,Ephemerellidae,Eurylophella,Glossosoma,Gomphidae,Haploperla,Hemerodromia,Heptageniidae,Heterocloeon,Hexatoma,Hydracarina,Hydropsyche,Hydropsychidae,Isonychia,Isonychiidae,Isoperla,Lepidostoma,Leptophlebiidae,Leucrocuta,Leuctra,Leuctridae,Lumbriculidae,Maccaffertium,Micrasema,Naididae,Nigronia,Oligochaeta,Optioservus,Oulimnius,Paraleptophlebia,Peltoperlidae,Perlesta,Perlidae,Perlodidae,Philopotamidae,Plauditus,Plecoptera,Pleuroceridae,Polycentropus,Promoresia,Prosimulium,Psephenidae,Psephenus,Pteronarcyidae,Pteronarcys,Rhithrogena,Rhyacophila,Rhyacophilidae,Serratella,Simuliidae,Simulium,Stenacron,Stenelmis,Sweltsa,Taeniopterygidae,Taeniopteryx,Tallaperla,Teloganopsis deficiens,Tipula,Tipulidae,Trichoptera
4ABLG001.95,BLG5561R110,4/3/2014,Spring,1,,1,,1,,,,,2,,1,,,,6,,5,,,,3,,,,2,,39,1,1,,,,,,7,,1,,1,,,,1,,2,,,,,,,,1,,,,2,,,2,,,,,,,,16,,,,,,4,,,,,,,3,,,4,,,,
4ABLG001.95,BLG6717R110,10/6/2014,Fall,1,,2,,1,,,,,,,,,2,,1,,,,,,10,,1,,,,8,12,,2,,,,,2,,,,4,1,,,,2,4,4,,2,,9,,,,,4,5,,,,1,4,,1,1,,1,,,,,,1,,2,,,,,,,18,,2,,,,,1
4ABTM000.04,FAMBTM1578,10/12/2000,Fall,1,,,,,,,,20,,,4,,,,2,,,,9,,,,,,,3,,,,,,1,,,10,,,,,64,,4,,,,,,,2,,,,,,,,,,,19,,21,,,2,,,,2,,6,,,,,,23,,,,,,,,,,,
4ABTM000.04,FAMBTM10146,6/4/2002,Spring,1,,,,,,,,12,,,,,,,34,,,,,,,,,,,1,,,5,,,,,,4,,,,,18,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,16,,,,,,,,,,3,
4ABTM000.04,BTM7533R110,5/5/2015,Spring,1,5,1,,,,1,2,7,,,,,,,9,,,,,,,,,5,,,3,32,,,,,,,,,,,1,,1,,,,,,,,,6,,2,,1,,,,,4,2,1,,16,,,,,,,3,,,,,,,,6,,,,,,,,,,1
4ABTM000.04,BTM8835R110,11/23/2015,Fall,1,,,6,,,,,1,,,,1,1,1,12,,,,,,,,,,,,4,2,13,2,,,,,1,,,,3,1,1,,1,,,,,,,2,,1,,,1,,,,,,,,,12,,,,12,,,,,,1,,,8,,,,,8,7,,,,,3
4ABTM004.48,FAMBTM5164,9/12/2008,Fall,1,,,,,,,,1,,,2,,,,9,,,,7,,,,,,,9,,,,,,,,,36,,,1,,27,,1,,,1,,,1,,,,,,,,,,,,7,,7,,,,,,,1,,,,,,,,3,,,,,,,,,,,
4ABTM004.48,BTM7532R110,5/4/2015,Spring,1,7,1,,,,,,1,,1,,,7,,12,,,,,,,1,,1,,,5,33,1,,,,,,3,,,1,3,,,,1,,,,,2,,7,,,,,,1,,,,1,1,,9,1,,,,,,1,,,,,,,,6,,,,,1,,,,,
4ABTM004.48,BTM8843R110,11/18/2015,Fall,1,2,2,1,,,,,,,,,8,2,,2,,,,,,1,,,,,,15,3,4,1,,,,,4,,,1,1,,,,,,,1,,,,12,,,,,2,,,,,,,,3,3,,,,8,,,,,,1,,,,,,,,,12,,,,,1
4ABTM008.98,BTM9953R110,4/11/2017,Spring,1,2,1,,,,,,,1,,1,,,,7,,9,,,,,,,1,,,17,35,7,,,,,,,1,1,,1,,,,,,9,,,,,1,,,,,3,1,4,,,,2,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,
4ABTM008.98,BTM10680R110,8/31/2017,Fall,1,1,2,,,,,,2,2,,,,8,,7,,,,,,1,,3,,,,5,,8,,,,,,8,,1,,9,5,1,,,,,,3,,,25,,,,,1,3,4,,,1,,,,,,,,,,,,,,3,,,,1,,,1,,,3,,,,
4ACEC001.24,CEC639R110,4/14/2010,Spring,1,1,2,,20,,,,,2,,,1,,,8,,,,,,,,,,,,5,44,2,,,,,,,,,,,,,,1,,,,,,,5,,,,,,1,,,,,,,,1,1,,,,,2,,,,3,,,,5,,,1,,,,,,,
4ACEC001.24,CEC1653R110,10/26/2010,Fall,1,1,1,,,,,,,,,,4,24,4,3,,,,,1,,,,,3,,6,,2,,,4,,,6,,,,,1,,,,,,,,,,8,,,,,17,,2,,,3,,,,,,1,,,,,,,,2,,,,,,,,,16,,,1,,
4ACEC001.24,CEC4664R110,5/28/2013,Spring,1,7,,,,1,,,,,,,,1,3,55,,,1,,,,,,1,,,2,,,,,,,,,,,,,3,,,,,4,,4,,,4,,,,,,,1,2,1,,,,,,,1,,,,,,,,1,,,,13,,1,,,,,,,,2
4ACEC001.24,CEC5204R110,10/28/2013,Fall,1,1,3,,,,,,,,,,,19,5,11,,,,,,,1,,,1,,,,,,,,,,5,,,,,2,2,,,,,7,,,,31,,,2,,,,,,,1,2,,,,1,4,,,,1,,,,,,,,,,,,,5,1,,5,,
4ACRR011.77,CRR9961R110,4/12/2017,Spring,1,,,,1,,,,,,,,,1,,42,,,,,,,,,,,,,19,,,,,3,6,,,1,,,,,,,,1,,3,,,2,,,,2,,6,2,,1,,,,2,,3,,,,,2,,,,,,,,10,1,,,,,,,,,
4ACRR011.77,CRR10647R110,11/2/2017,Fall,1,,1,8,,2,,,,,,,,11,15,31,1,,,,,,2,,,,,,,,,,,,,,,2,1,1,,,,,,,1,,,,17,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,3,3,1,,,1,,1,,,
4ACRR011.77,CRR12017R110,3/26/2019,Spring,1,,1,,1,,,,,,,,,3,1,56,,,,,,1,,,,1,,,15,,,,,10,,,1,1,1,,,,,4,,,1,,,,1,,,,1,,3,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,1,,
4ACRR011.77,CRR12196R110,9/4/2019,Fall,1,1,,,,,,,,7,,,,7,10,43,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,3,3,,,18,,,,,,1,,,,,,,,,2,,,,,3,,,,,,,,,1,,,,,,,,,
4ADAN183.06,FAMDAN3151,5/19/2004,Spring,1,,,,,,,,25,,,,,,,8,1,,,1,,,,,,,7,,,25,,,,,,25,,,,,7,,,,,,,,,1,,,,,,,,,,,3,3,,,,3,,,,1,,2,,,,2,,,,,,,,,,,,4,
4ADAN183.06,FAMDAN3371,10/20/2004,Fall,1,,,,,,,,8,,,,7,,,8,1,,,,,,,,,,9,,,13,,,,,,6,,,,,31,,1,,,3,,,,,,,,,,,,,1,,12,4,7,,,,,,,3,,,,,,3,,6,,,,,2,,,,,2,
4ADAN183.06,DAN8083R110,5/4/2015,Spring,1,11,2,,,,,,,,,,,4,,11,,,,,,,,,1,,1,5,30,1,,,,1,1,3,1,,,8,,,,,,,,,,,4,,,,,2,6,,,,,,,5,,1,,,,,3,,7,,1,,,,,,,,,,,,,,
4ADAN183.06,DAN8834R110,11/18/2015,Fall,1,1,3,11,,,,,2,,,,,1,,26,,,,,,,,,,,1,2,1,1,,,1,,,,,,,6,,,,3,,1,,,,1,5,,,1,2,3,2,1,,,3,,,,,,,,,,8,,,,3,,1,1,,,,,3,,,2,,,8
4ADAN199.71,DAN5653R110,5/5/2014,Spring,1,1,,,,,1,,1,,,,,1,,21,,,,,,,,3,1,,,6,14,3,,,,,,,,1,,1,,,,1,,3,,,,1,1,,,,,12,7,3,,,1,,1,1,,1,,,,,1,,1,12,1,,,,4,,,,,,,4,,,
4ADAN199.71,DAN6462R110,10/20/2014,Fall,1,,,,,,1,1,,1,,,5,3,,18,2,,,,2,2,,3,,,2,3,1,13,,,,,,2,,,,4,,,,,,,,1,,,,,5,1,2,7,6,1,,,2,1,,,,,,1,,,,,,5,5,,,,2,,,,,,,,,,3
4ADAY003.97,FAMDAY02585,10/18/2002,Fall,1,,,,,,,,1,,,1,,,,3,,,,3,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,8,,,,,,,,,,,,,8,,,,,,,1,,,,,,,,,,,,,2,,,,,16,
4ADAY003.97,FAMDAY4074,6/6/2005,Spring,1,,,,,,,,6,,,,23,,,22,2,,,2,,,,,,,4,,,2,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,3,,4,,25,,,,,,,1,,3,,,,1,,1,,,,,,,,,,1,
4ADAY003.97,DAY4933R110,6/10/2013,Spring,1,,3,,,,,,,2,,,,2,,35,,,,,,2,,6,,1,,,1,,,1,2,,,,,,,,2,,,,1,6,,23,1,1,8,,,,,,1,2,,,2,,,1,,,,,,,2,,,,,,,,2,,1,,,,,,1,,
4ADAY003.97,DAY5047R110,10/21/2013,Fall,1,,1,,,,,,,,,,,19,,17,,,,,,,,4,,,2,,,,2,,,,,11,,,,,4,,,,,8,,,,,16,,,,,2,5,,,,2,,,,1,,,,,,4,,1,,,,,,,,,,,,,,7,,
4AGOS000.71,FAMGOS4069,10/12/2000,Fall,1,,,,,,,,28,,,4,1,,,6,,,,10,,,,,,,8,,,3,,,,,,27,,,,,101,,2,,,,,,,6,,,,,,,,,2,,12,,9,,,,,,,2,,2,,,,4,,11,,,,,,,,,,11,
4AGOS000.71,FAMGOS4067,11/8/2005,Fall,1,,,,,,,,5,,,,9,,,6,1,,,,,,,,,,1,,,39,,,,,,8,,,,,11,,1,,,,,,,,,,,,,,,,,,2,6,4,,,,,,,1,,1,,,,1,,8,,,,,8,,,,,1,
4AGOS000.71,GOS2190R110,6/15/2011,Spring,1,6,1,,,,,1,1,3,,,,21,2,17,,,,,,,,1,,,,1,,,,1,,,1,,,,,14,2,1,,1,,,,,,,,,,2,1,1,1,1,1,2,,,,2,5,,,2,1,,,,1,,2,,5,,8,,,,,,,,,,
4AGOS000.71,GOS2746R110,11/8/2011,Fall,1,4,,8,,,,1,,,,1,,8,2,5,,,,,,,,,,,,,9,14,2,1,1,,,4,,,,3,2,,,,,,1,,,,8,,,1,1,6,4,,,,,1,,,5,,,,,,,,,,1,,1,,,,,,4,10,,,,,
4AIVV002.00,IVV1156R110,4/26/2010,Spring,1,8,2,,,,,,,2,1,1,,2,,13,,,,,1,,1,9,5,,,8,20,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,4,2,,,,,,,,1,2,,1,,,1,,,3,1,,2,,16,,,,,,,,1,,
4AIVV002.00,IVV1654R110,9/8/2010,Fall,1,,2,,,,,,,1,,,,18,,8,,,,,1,,,4,,,,1,,,,,,,1,2,,3,,,,1,,,,1,,1,,1,,,,2,,34,3,,,,6,,,,,,,,,,7,,,,1,,,,5,,,,,,,,,,
4ALLC002.18,LLC8443R110,3/31/2016,Spring,1,,1,,5,,,,,,,,,2,,13,,,,,,,,,,,,,48,,,,,,,,,,,,,1,,,,2,,1,,,,,,,2,,10,,3,,,,,,,3,,,1,,1,,,,,,,,13,,,,,,,,1,,
4ALLC002.18,LLC9259R110,11/17/2016,Fall,1,,3,,,1,1,,,1,,,,26,1,13,,,,,,,,,,1,,3,,,,,,,,,,2,1,,,,,,,,1,,,,6,,,9,1,5,20,,,,,,,,,5,,,,,2,,,,,,,,2,,,,,2,,,,,
4AMSA000.02,SMA12690R110,5/22/2019,Spring,1,5,,,,,,1,,3,,,,4,1,21,,,1,,,,,1,,,,1,,,,,,,,1,,,,,2,1,,,,,,4,,,1,,,,1,,,,,1,,,,3,,,,,,,,,,,,,,,54,,,,,,,,,,
4ASIT001.46,SIT4668R110,5/30/2013,Spring,1,,,,,2,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,,9,,,,,,,3,,,1,,,,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,
4ASOT002.90,SOT9004R110,4/7/2016,Spring,1,1,,,,,,,,1,,,,,,9,1,12,1,,,2,,9,1,,,1,41,,,,,,,,,,,,,,,2,,,,,,,1,,,,,3,1,1,,,1,1,2,,,,,,2,,1,,3,3,1,,,,4,,,1,,,,,,,
4ASOT002.90,SOT9428R110,10/19/2016,Fall,1,7,1,,,,,,2,,,,7,15,,3,1,,,,1,,,3,,,,4,2,1,1,,,,,3,,,,2,2,,,,,3,4,,,,10,,,,,8,2,2,,,1,2,,,,,,,2,,4,,1,,4,,,,5,,,2,,3,,,1,,
4ASRE063.69,SRE9379R110,8/25/2016,Fall,1,21,2,,,,,4,3,8,,,,8,,11,,,,,,,,1,,,1,1,,,,,,,1,1,,,,14,2,2,,,,,,,,,1,,,,,9,1,,,,1,,,,,2,,1,,,,,,,,,,,11,,,,,,,,,,
4ASRE063.69,SRE11380R110,6/6/2018,Spring,1,8,,,,,,,1,2,,,,7,2,11,,,,,,,,,1,,,,,,,,,,,1,,,,9,,10,,,,,,,,,2,,,,,23,1,,,1,,,,1,,3,,4,,,,,,,,,1,,3,,1,,,,,3,,,
4ASRE063.69,SRE11800R110,5/22/2019,Spring,1,4,,,,,,1,6,5,,,,8,,17,,,,,,,,1,2,,,1,1,,,,,,,,,,,18,4,3,,,,,2,,,,,1,,,1,1,1,,,3,6,,,4,,,,,1,,,,,3,1,,,1,9,,1,,,,,2,,,
4ASRE063.69,SRE12550R110,10/24/2019,Fall,1,1,2,,,,3,,1,,,,,13,5,2,,,,,,,,,,,,1,,,,,,1,,1,,,,22,2,9,,,,,2,,,,14,,,,,14,1,,,,,,,,,5,,2,,,2,,,,,,,,1,,,,,3,,1,,,
4ASRE069.46,FAMSRE5193,4/10/2008,Spring,1,,,,,,,,16,,,,,,,14,,,,,,,,,,,5,,,41,,,,,,9,,,3,,10,,1,,,1,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4ASRE069.46,SRE12042R110,5/21/2019,Spring,1,4,,,,,,1,10,3,2,,,15,,30,,,,,1,,,1,3,,,,,,,,,,,,,1,,8,3,1,,,,,1,,,,,,,,2,,,,,3,3,,,9,,,,,,,1,,,4,,,,,1,,,,,,,2,,,
4AXOF001.26,XOF3450R110,4/25/2012,Spring,1,,,,,,,,23,6,,,,,,13,1,,,,2,2,,3,,,,3,4,1,,,,,,,1,4,,,,3,,3,,,,,,,,,,,1,5,5,1,,,2,3,,,5,,,8,,,1,,1,,,,,,,,,,,,8,,,,
4AXOF001.26,XOF3642R110,9/12/2012,Fall,1,,,1,,,,,1,1,,,,,,27,,,,,,11,,1,,3,1,1,,,1,,,,,3,,4,,,8,1,,,,2,,,,,5,,,,2,3,,,,,1,3,,,5,,,,,,1,,1,,1,,,,4,,,,,,,,,,
4AXSP001.93,XSP4352R110,4/19/2011,Spring,1,,,,,2,,,2,,,,,,,36,,,1,,1,,,,,1,,3,20,,,,2,6,,3,,1,,,,,,,,1,,,,,2,,,1,1,4,6,2,,,,,,,2,3,,1,,2,,,,,,,3,,1,,,,,,,,1,,
4AXSP001.93,XSP4351R110,11/2/2011,Fall,1,,1,,,1,,,1,1,,,24,3,,3,,,,,1,,,8,,2,,5,,6,,,1,,,1,,2,,2,,3,,,,1,,,,,4,,,,3,4,7,,,,4,5,1,,8,,,,1,,,,,,2,,,,3,,,,,,,,,,
